ID_avtorja,vsebina,vezava,stevilo_strani,izdano,ID_knjige
58,"With more than ten million copies sold, Frank Herbert's magnificent Dune books stand among the major achievements of the human imagination. In this, the fifth and most spectacular Dune book of all, the planet Arrakis--now called Rakis--is becoming desert again. The Lost Ones are returning home from the far reaches of space. The great sandworms are dying. And the children of Dune's children awaken from empire as from a dream, wielding the new power of a heresy called love...",Mass Market Paperback,471,1987,117
63,"In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one.",Paperback,544,1996,122
115,"In April 1992, a discovery was made that changed the way we view the world. Dr. George Smoot, distinguished cosmologist and adventurer, whose quest for cosmic knowledge had taken him from the Brazilian rain forest to the South Pole unveiled his momentous discovery, bringing to light the very nature of the universe. For anyone who has ever looked up at the night sky and wondered, for anyone who has ever longed to pull aside the fabric of the universe for a glimpse of what lies behind it. Wrinkles in Time is the story of Smoot's search to uncover the cosmic seeds of the universe. Wrinkles in Time is the Double Helix of cosmology, an intimate look at the inner world of men and women who ask. ""Why are we here?"" It tells the story of George Smoot's dogged pursuit of the cosmic wrinkles in the frozen wastes of Antarctica, on mountaintops, in experiments borne aloft aboard high-altitude balloons, U-2 spy planes, and finally a space satellite. Wrinkles in Time presents the hard science behind the structured violence of the big bang theory through breathtakingly clear, lucid images and meaningful comparisons. Scientists and nonscientists alike can follow with rapt attention the story of how, in a fiery creation, wrinkles formed in space ultimately to become stars, galaxies, and even greater delicate structures. Anyone can appreciate the implications of a universe whose end is written in its beginnings - whose course developed according to a kind of cosmic DNA, which guided the universe from simplicity and symmetry to ever-greater complexity and structure. As controversial as it may seem today, Wrinkles in Time reveals truths that, in an earlier century, would have doomed its proclaimers to the fiery stake. For four thousand years some people have accepted the Genesis account of cosmic origin; for most of this century, scientists debated two rival scientific explanations known as the steady state and big bang theories. And now, Wrinkles in Time tells what really happened.The personal story behind astrophysicist George Smoot's incredible discovery of the origin of the cosmos, hailed by Stephen Hawking as ""The scientific discovery of the century, if not of all time.""",Paperback,360,1994,180
147,"Now hailed as an American classic, Tropic of Cancer, Henry Miller’s masterpiece, was banned as obscene in this country for twenty-seven years after its first publication in Paris in 1934. Only a historic court ruling that changed American censorship standards, ushering in a new era of freedom and frankness in modern literature, permitted the publication of this first volume of Miller’s famed mixture of memoir and fiction, which chronicles with unapologetic gusto the bawdy adventures of a young expatriate writer, his friends, and the characters they meet in Paris in the 1930s. Tropic of Cancer is now considered, as Norman Mailer said, ""one of the ten or twenty great novels of our century.""",Paperback,318,1994,249
147,"Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller's Tropic of Cancer chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn's ethnic neighborhoods and Miller's outrageous sexual exploits, Tropic of Capricorn is now considered a cornerstone of modern literature. ",Paperback,348,1994,250
147,"Praise for Henry Miller: 'American literature begins and ends with the meaning of what Miller has done.' Lawrence Durrell 'I regard Henry Miller as a master.' Colin MacInne Praise for 'Sexus': 'A huge, sprawling narrative of Miller's life in New York, ""Sexus'""culminates in a description of an orgy as remarkable for its account of the author's powers of sexual endurance as for its versatility. Interspersed are descriptions of his friends, some of them extremely funny and all of them lively. The lack of inhibition and genteel or moral restraint with which Miller describes these various characters gives ""Sexus"" a unique vitality. Miller cannot be pompous, a rare virtue, and his honesty is absolute.' Spectator",Paperback,506,1994,252
147,"In 1939, after ten years as an expatriate, Henry Miller returned to the United States with a keen desire to see what his native land was really like—to get to the roots of the American nature and experience. He set out on a journey that was to last three years, visiting many sections of the country and making friends of all descriptions. The Air-Conditioned Nightmare is the result of that odyssey.",Paperback,292,1970,253
163,"Cuarenta y un años después de publicar su primera novela, Marguerite Duras se convierte de la noche a la mañana, con el amante, en una autora solicitada por todos los públicos. Y, además, recibe poco después, en noviembre de 1984, el prestigioso premio Goncourt. A todos emociona sin duda esta narración autobiográfica en la que la autora expresa, con la intensidad del deseo, esa historia de amor entre una adolescente de quince años y un rico comerciante chino de veintiséis.",Paperback,117,1998,275
6466154,"This is the exquisitely tender story of love that beats desperately against the taboos of Oriental tradition. With great sensitivity, Gibran describes his passion as a youth for Selma Karamy, the girl of Beirut who first unfolded to him the secrets of love. But it is a love that is doomed by a social convention which forces Selma into marriage with another man. Portraying the happiness and infinite sorrow of his relationship with Selma, Gibran at the same time probes the spiritual meaning of human existence with profound compassion. **Lightning Print On Demand Title",Paperback,132,2003,291
13450,"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",Hardcover,417,2003,320
39402,"An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift—an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume""—the scent of a beautiful young virgin. Told with dazzling narrative brilliance, Perfume is a hauntingly powerful tale of murder and sensual depravity.",Paperback,263,1987,343
205,"It is 1970, and electronics engineer Dan Davis has finally made the invention of a lifetime: a household robot with extraordinary abilities, destined to dramatically change the landscape of everyday routine. Then, with wild success just within reach, Dan's greedy partner and even greedier fiancée steal his work and leave him penniless, and trick him into taking the long sleep—suspended animation for thirty years.",Paperback,304,1997,348
205,"NAME: Valentine Michael SmithANCESTRY: HumanORIGIN: MarsValentine Michael Smith is a human being raised on Mars, newly returned to Earth. Among his people for the first time, he struggles to understand the social mores and prejudices of human nature that are so alien to him, while teaching them his own fundamental beliefs in grokking, watersharing, and love.",Paperback,528,1991,350
205,"The capstone and crowning achievement of Heinlein's famous Future History, Time Enough for Love follows Lazarus Long through a vast and magnificent timescape of centuries and worlds. Heinlein's longest and most ambitious work, it is the story of a man so in love with Life that he refused to stop living it.",Mass Market Paperback,589,1988,353
4,"When a passenger check-in desk at London's Heathrow Airport disappears in a ball of orange flame, the explosion is deemed an act of God. But which god, wonders holistic detective Dirk Gently? What god would be hanging around Heathrow trying to catch the 3:37 to Oslo? And what has this to do with Dirk's latest--and late-- client, found only this morning with his head revolving atop the hit record ""Hot Potato""? Amid the hostile attentions of a stray eagle and the trauma of a very dirty refrigerator, super-sleuth Dirk Gently will once again solve the mysteries of the universe...",Mass Market Paperback,307,1991,357
4,"It’s easy to get disheartened when your planet has been blown up, the woman you love has vanished in a misunderstanding about space/time, the spaceship you are on crashes on a remote and Bob-fearing planet, and all you have to fall back on is a few simple sandwich-making skills. However, instead of being disheartened, Arthur Dent makes the terrible mistake of starting to enjoy life a bit and, immediately, all hell breaks loose.Hell takes a number of forms: there’s the usual Ford Prefect form of hell, fresh hell in the form of an all-new version of The Hitchhiker’s Guide to the Galaxy, and a totally unexpected hell in the form of a teenage girl who startles Arthur Dent by being his daughter when he didn’t even know he had one.Can Arthur save the Earth from total multidimensional obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter, Random, from herself? Of course not. He never works out what is going on, exactly. Will you?",Mass Market Paperback,240,2000,360
214,"Librarian's Note: For an alternate cover edition of the same ISBN, click here.Hailed as “a classic. . . . humorous, full of warmth and real invention” (The New Yorker), this beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. For Milo, everything’s a bore. When a tollbooth mysteriously appears in his room, he drives through only because he’s got nothing better to do. But on the other side, things seem different. Milo visits the Island of Conclusions (you get there by jumping), learns about time from a ticking watchdog named Tock, and even embarks on a quest to rescue Rhyme and Reason! Somewhere along the way, Milo realizes something astonishing. Life is far from dull. In fact, it’s exciting beyond his wildest dreams. . . .",Paperback,256,1996,378
233,"From the author of White Noise (winner of the National Book Award) and Zero KIn this powerful, eerily convincing fictional speculation on the assassination of John F. Kennedy, Don DeLillo chronicles Lee Harvey Oswald's odyssey from troubled teenager to a man of precarious stability who imagines himself an agent of history. When ""history"" presents itself in the form of two disgruntled CIA operatives who decide that an unsuccessful attempt on the life of the president will galvanize the nation against communism, the scales are irrevocably tipped.A gripping, masterful blend of fact and fiction, alive with meticulously portrayed characters both real and created, Libra is a grave, haunting, and brilliant examination of an event that has become an indelible part of the American psyche.",Paperback,480,1991,400
233,"""One of the most intelligent, grimly funny voices to comment on life in present-day America"" (The New York Times), Don DeLillo presents an extraordinary new novel about words and images, novelists and terrorists, the mass mind and the arch-individualist. At the heart of the book is Bill Gray, a famous reclusive writer who escapes the failed novel he has been working on for many years and enters the world of political violence, a nightscape of Semtex explosives and hostages locked in basement rooms. Bill's dangerous passage leaves two people stranded: his brilliant, fixated assistant, Scott, and the strange young woman who is Scott's lover—and Bill's.",Paperback,254,1992,402
235,"The New York Times Best Book of the Year, 1997Time Magazine Best Book of the Year 1997Charles Mason (1728-1786) and Jeremiah Dixon (1733-1779) were the British surveyors best remembered for running the boundary between Pennsylvania and Maryland that we know today as the Mason-Dixon Line. Here is their story as re-imagined by Thomas Pynchon, featuring Native Americans and f",Paperback,773,2004,413
235,"Winner of the 1973 National Book Award, Gravity's Rainbow is a postmodern epic, a work as exhaustively significant to the second half of the 20th century as Joyce's Ulysses was to the first. Its sprawling, encyclopedic narrative, and penetrating analysis of the impact of technology on society make it an intellectual tour de force.",Paperback,776,2006,415
238,"First published in 1979, ""The White Album ""is a journalistic mosaic"" ""of American life in the late 1960s and throughout the 1970s. It includes, among other bizarre artifacts and personalities, reportage on the dark journeys and impulses of the Manson family, a visit to a Black Panther Party press conference, the story of John Paul Getty's museum, a meditation on the romance of water in an arid landscape, and reflections on the swirl and confusion that marked this era. With commanding sureness of mood and language, Didion exposes the realities and dreams of an age of self-discovery whose spiritual center was California. Table of ContentsI. THE WHITE ALBUM""The White Album"" II. CALIFORNIA REPUBLIC""James Pike, American""""Holy Water""""Many Mansions""""The Getty""""Bureaucrats""""Good Citizens""""Notes Toward a Dreampolitik"" III. WOMEN""The Women's Movement""""Doris Lessing""""Georgia O'Keeffe"" IV. SOJOURNS""In the Islands""""In Hollywood""""In Bed""""On the Road""""On the Mall""""In Bogota""""At the Dam"" V. ON THE MORNING AFTER THE SIXTIES""On the Morning After the Sixties""""Quiet Days in Malibu""",Paperback,222,1990,421
238,"This classic collection of journalism defined the state of America during the upheaval of the sixties revolution. The essays feature barricades and bombings, mass murders and kidnapped heiresses.",Paperback,238,1990,424
238,"A ruthless dissection of American life in the late 1960s, Play It as It Lays captures the mood of an entire generation, the ennui of contemporary society reflected in spare prose that blisters and haunts the reader. Set in a place beyond good and evil - literally in Hollywood, Las Vegas, and the barren wastes of the Mojave Desert, but figuratively in the landscape of an ar",Paperback,213,2005,428
296961,"The New York Review of Books has called Paul Auster's work “one of the most distinctive niches in contemporary literature.” Moving at the breathless pace of a thriller, this uniquely stylized triology of detective novels begins with City of Glass, in which Quinn, a mystery writer, receives an ominous phone call in the middle of the night. He’s drawn into the streets of New York, onto an elusive case that’s more puzzling and more deeply-layered than anything he might have written himself. In Ghosts, Blue, a mentee of Brown, is hired by White to spy on Black from a window on Orange Street. Once Blue starts stalking Black, he finds his subject on a similar mission, as well. In The Locked Room, Fanshawe has disappeared, leaving behind his wife and baby and nothing but a cache of novels, plays, and poems.",Paperback,308,2006,431
296961,"Nominated for an Edgar award for best mystery of the year, City of Glass inaugurates an intriguing New York Trilogy of novels that The Washington Post Book World has classified as ""post-existentialist private eye... It's as if Kafka has gotten hooked on the gumshoe game and penned his own ever-spiraling version."" As a result of a strange phone call in the middle of the night, Quinn, a writer of detective stories, becomes enmeshed in a case more puzzling than any he might have written. Written with hallucinatory clarity, City of Glass combines dark humor with Hitchcock-like suspense. Ghosts and The Locked Room are the next two brilliant installments in Paul Auster's The New York Trilogy.",Paperback,203,1987,432
296961,"Marco Stanley Fogg is an orphan, a child of the sixties, a quester tirelessly seeking the key to his past, the answers to the ultimate riddle of his fate. As Marco journeys from the canyons of Manhattan to the deserts of Utah, he encounters a gallery of characters and a series of events as rich and surprising as any in modern fiction.Beginning during the summer that men first walked on the moon, and moving backward and forward in time to span three generations, Moon Palace is propelled by coincidence and memory, and illuminated by marvelous flights of lyricism and wit. Here is the most entertaining and moving novel yet from an author well known for his breathtaking imagination.",Paperback,320,1990,447
296961,"Mr. Bones, the canine hero of Paul Auster's astonishing new book, is the sidekick and confidant of Willy G. Christmas, a brilliant and troubled homeless man from Brooklyn. As Willy's body slowly expires, he sets off with Mr. Bones for Baltimore in search of his high school English teacher and a new home for his companion. Mr. Bones is our witness during their journey, and out of his thoughts, Paul Auster has spun one of the richest, most compelling tales in American fiction.",Paperback,181,2000,449
296961,"New York Times bestselling author Paul Auster (The New York Trilogy) opens Leviathan with the tearing of a bomb explosion and the death of one Benjamin Sachs. Ben’s one-time best friend, Peter Aaron, begins to retrospectively investigate the transformation that led Ben from his enviable stable life, to one of a recluse. Both were once intelligent, yet struggling novelists until Ben’s near-death experience falling from a fire escape triggers a tumble in which he becomes withdrawn and disturbed, living alone and building bombs in a far-off cabin. That is, until he mysteriously disappears, leaving behind only a manuscript titled Leviathan, pages rustling in the wind.",Paperback,275,1993,456
401,"One of the most important &amp; influential books written in the past half-century, Robert M. Pirsig's Zen &amp; the Art of Motorcycle Maintenance is a powerfully moving &amp; penetrating examination of how we live, a breathtaking meditation on how to live better. Here is the book that transformed a generation, an unforgettable narration of a summer motorcycle trip across America's Northwest, undertaken by a father &amp; his young son. A story of love &amp; fear--of growth, discovery &amp; acceptance--that becomes a profound personal &amp; philosophical odyssey into life's fundamental questions, this uniquely exhilarating modern classic is both touching &amp; transcendent, resonant with the myriad confusions of existence &amp; the small, essential triumphs that propel us forward.",Mass Market Paperback,540,2006,629
419,"With a new Afterword to the 2002 edition, No Logo employs journalistic savvy and personal testament to detail the insidious practices and far-reaching effects of corporate marketing—and the powerful potential of a growing activist sect that will surely alter the course of the 21st century. First published before the World Trade Organization protests in Seattle, this is an infuriating, inspiring, and altogether pioneering work of cultural criticism that investigates money, marketing, and the anti-corporate movement.As global corporations compete for the hearts and wallets of consumers who not only buy their products but willingly advertise them from head to toe—witness today's schoolbooks, superstores, sporting arenas, and brand-name synergy—a new generation has begun to battle consumerism with its own best weapons. In this provocative, well-written study, a front-line report on that battle, we learn how the Nike swoosh has changed from an athletic status-symbol to a metaphor for sweatshop labor, how teenaged McDonald's workers are risking their jobs to join the Teamsters, and how ""culture jammers"" utilize spray paint, computer-hacking acumen, and anti-propagandist wordplay to undercut the slogans and meanings of billboard ads (as in ""Joe Chemo"" for ""Joe Camel"").No Logo will challenge and enlighten students of sociology, economics, popular culture, international affairs, and marketing.""This book is not another account of the power of the select group of corporate Goliaths that have gathered to form our de facto global government. Rather, it is an attempt to analyze and document the forces opposing corporate rule, and to lay out the particular set of cultural and economic conditions that made the emergence of that opposition inevitable."" —Naomi Klein, from her Introduction",Paperback,528,2002,647
432,"This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, that is the first of your premises to check.",Paperback,1168,1999,662
432,"Anthem has long been hailed as one of Ayn Rand's classic novels, and a clear predecessor to her later masterpieces, The Fountainhead and Atlas Shrugged. In Anthem, Rand examines a frightening future in which individuals have no name, no independence, and no values. Equality 7-2521 lives in the dark ages of the future where all decisions are made by committee, all people live in collectives, and all traces of individualism have been wiped out. Despite such a restrictive environment, the spark of individual thought and freedom still burns in him--a passion which he has been taught to call sinful. In a purely egalitarian world, Equality 7-2521 dares to stand apart from the herd--to think and choose for himself, to discover electricity, and to love the woman of his choice. Now he has been marked for death for committing the ultimate sin. In a world where the great ""we"" reign supreme, he has rediscovered the lost and holy word--""I.""",Paperback,105,1999,667
432,More information to be announced soon on this forthcoming title from Penguin USA,Paperback,464,1996,668
447,"The classical novel (and basis for the acclaimed film) now in a new editionIntroduction by Kevin BakerThe Natural, Bernard Malamud's first novel, published in 1952, is also the first—and some would say still the best—novel ever written about baseball. In it Malamud, usually appreciated for his unerring portrayals of postwar Jewish life, took on very different material—the story of a superbly gifted ""natural"" at play in the fields of the old daylight baseball era—and invested it with the hardscrabble poetry, at once grand and altogether believable, that runs through all his best work. Four decades later, Alfred Kazin's comment still holds true: ""Malamud has done something which—now that he has done it!—looks as if we have been waiting for it all our lives. He has really raised the whole passion and craziness and fanaticism of baseball as a popular spectacle to its ordained place in mythology.""",Paperback,231,2003,685
13450,"Collected here are twenty-six of Gabriel Garcia Marquez's most brilliant and enchanting short stories, presented in the chronological order of their publication in Spanish from three volumes: Eyes of a Blue Dog, Big Mama's Funeral, and The Incredible and Sad Tale of lnnocent Eréndira and Her Heartless Grandmother. Combining mysticism, history, and humor, the stories in this collection span more than two decades, illuminating the development of Marquez's prose and exhibiting the themes of family, poverty, and death that resound throughout his fiction.",Paperback,352,2008,759
