ID_avtorja,avtor,kraj_rojstva,leto_rojstva
1813,Johan Huizinga,"Groningen, Netherlands",1872
1825,Harper Lee,"Monroeville, Alabama, The United States",1926
1847,Mark Kurlansky," Hartford, Connecticut, The United States",1948
1858,Kim Stanley Robinson,"Waukegen, Illinois, The United States",1952
1860,Walter Benjamin,"Berlin, Germany",1892
1873,David Guterson,"Seattle, Washington, The United States",1956
1881,Dave Pelzer,"Daly City, California, The United States",
1886,Douglas Coupland,,
1899,Howard Zinn,"Brooklyn, New York, New York, The United States",1922
1934,David Bodanis,"Chicago, The United States",
1949,Katherine Paterson,"Qing Jiang, China",1932
1954,Natalie Babbitt,"Dayton, Ohio, The United States",1932
1973,Tracy Chevalier,"Washington, DC., The United States",
2014,Garrison Keillor,"Anoka, Minnesota, The United States",1942
2031,James Hilton,"Leigh, The United Kingdom",1900
2041,Frances Hodgson Burnett,"Cheetham Hill, Manchester, England, The United Kingdom",1849
2062,Henry Hazlitt,,1894
2098,Elizabeth von Arnim,,
2147,Ivo Andrić,,
2238,Isabel Allende,"Lima, Peru",
2313,Louis de Bernières,"London, England",1954
2330,Tim O'Brien,"Minnesota, The United States",1946
2331,Mitch Albom,"Passaic, New Jersey, The United States",
2345,Nicholas Sparks,"Omaha, Nebraska, The United States",
2384,Janet Evanovich,"South River, New Jersey, The United States",
2408,Ian McEwan,"Aldershot, England, The United Kingdom",1948
2448,Arthur Conan Doyle,"Edinburgh, Scotland",1859
2476,Noam Chomsky,"Philadelphia, Pennsylvania, The United States",1928
2493,Lois Lowry,"Oahu, Hawaii, The United States",
2522,Zadie Smith,"London Borough of Brent, The United Kingdom",1975
2533,Graham Greene,"Berkhamsted, Hertfordshire, The United Kingdom",1904
2546,Chuck Palahniuk,"Pasco, WA, The United States",
2560,Louise Fitzhugh,"Memphis, TN, The United States",1928
2565,Ian Fleming,"Mayfair, London, England",1908
2572,Rumer Godden,"Eastbourne, Sussex, England, The United Kingdom",1907
2593,Rudolf Steiner,,
2616,Ruth Prawer Jhabvala,"Cologne, Germany",1927
2637,Karen Armstrong,"Wildmoor, Worcestershire, The United Kingdom",1944
2687,Dan Simmons,"Peoria, Illinois, The United States",1948
2713,E.L. Konigsburg,"New York, The United States",1930
2715,Michael Chabon,"Washington, District of Columbia, The United States",1963
2749,Scott Turow,"Chicago, Illinois, The United States",
2751,Bret Easton Ellis,"Los Angeles, California, The United States",1964
2782,Viktor E. Frankl,"Vienna, Austria",1905
2849,David Sedaris,"Binghamton, New York, The United States",1956
2887,James Ellroy,"Los Angeles, California, The United States",1948
2894,Bernhard Schlink,"Bielefeld, Germany",1944
2929,Nick Hornby,"Redhill, Surrey, England, The United Kingdom",1957
2934,Noah Gordon,"Worcester, Massachusetts, The United States",1926
2987,Sarah Dessen,"Illinois, The United States",
2996,Michael Herr,"Lexington, Kentucky, The United States",1940
3030,Alvin Toffler,"New York City, NY, The United States",1928
3047,John F. Kennedy,"Brookline, Massachusetts, The United States",1917
3049,John Kennedy Toole,"New Orleans, LA, The United States",1937
3061,M. Scott Peck,"New York City, The United States",1936
3073,John Buchan,"Perth, Scotland",1875
3075,John Irving,"Exeter, New Hampshire, The United States",
3080,Judith Viorst,"Newark, New Jersey, The United States",1931
3090,Helen Fielding,"Morley, West Yorkshire, England, The United Kingdom",
3098,Mark Bowden,"St. Louis, MO, The United States",1951
3101,Barry Unsworth,"Wingate, The United Kingdom",1930
3119,Paul Scott,"Southgate, London, The United Kingdom",1920
3145,Sylvia Engdahl,"Los Angeles, California, The United States",1933
3161,Sandra Boynton,"Orange, New Jersey, The United States",1953
3167,Joseph Heller,"Brooklyn, New York, The United States",1923
3190,F. Scott Fitzgerald,"St. Paul, Minnesota, The United States",1896
3242,L. Frank Baum,"Chittenango, New York, The United States",1856
3277,Dava Sobel,The United States,1947
3299,Salman Rushdie,"Bombay, India",1947
3317,Dale Carnegie,"Maryville, Missouri, The United States",1888
3340,Spencer Johnson,"Watertown, South Dakota",1938
3345,Joseph Conrad,,
3347,Frank McCourt,"Brooklyn, New York, The United States",1930
3354,Haruki Murakami,"Kyoto, Japan",1949
3362,Eric Carle,"Syracuse, New York, The United States",1929
3369,Amitav Ghosh,"Calcutta, India",1956
3371,Dave Eggers,"Boston, Massachusetts, The United States",1970
3389,Stephen King,"Portland, Maine, The United States",
3407,Antony Beevor,The United Kingdom,1946
3441,Terry Goodkind,"Omaha, Nebraska, The United States",
3445,Myla Goldberg,The United States,
3447,Ken Follett,"Cardiff, The United Kingdom",
3449,Graham Swift,"London, The United Kingdom",1949
3465,Julia Child,"Pasadena, California, The United States",1912
3472,Margaret Atwood,"Ottawa, Ontario, Canada",
3487,Aldous Huxley,"Godalming, Surrey, England, The United Kingdom",1894
3489,Rebecca Wells,The United States,
3496,John Knowles,"Fairmont, West Virginia, The United States",1926
3500,Anna Quindlen,"Philadelphia, Pennsylvania, The United States",1952
3502,Alice Hoffman,"New York, New York, The United States",
3503,Maya Angelou,"St. Louis, Missouri, The United States",1928
3504,Jacquelyn Mitchard,The United States,
3505,Wally Lamb,"Norwich, Connecticut, The United States",1950
3506,Carson McCullers,"Columbus, Georgia, The United States",1917
3510,Billie Letts,"Tulsa, Oklahoma, The United States",1938
3515,Ann-Marie MacDonald,,
3521,Bret Lott,"Los Angeles, California, The United States",
3524,Joyce Carol Oates,"Lockport, New York, The United States",1938
3526,Jane Hamilton,"Rochester, Wisconsin, The United States",1957
3527,Alan Paton,,
3530,Anita Shreve,"Dedham, Massachusetts",1946
3532,Maeve Binchy,"Dalkey, County Dublin, Ireland",1940
3533,Ernest J. Gaines,,
3534,Toni Morrison,"Lorain, Ohio, The United States",1931
3535,William Faulkner,"New Albany, Mississippi, The United States",1897
3536,Ursula Hegi,"Düsseldorf, Germany",1946
3539,Rohinton Mistry,"Bombay, India",1952
3540,Janet Fitch,"Los Angeles, California, The United States",
3541,Barbara Kingsolver,"Annapolis, Maryland, The United States",1955
3617,Diana Gabaldon,"Arizona, The United States",
3618,Philip Pullman,"Norwich, Norfolk, England, The United Kingdom",1946
3619,Roger Zelazny,"Euclid, Ohio, The United States",1937
3620,Kathleen Winsor,"Olivia, Minnesota, The United States",1919
3670,Jhumpa Lahiri,,
3706,George Orwell,"Motihari, Bihar, India",1903
3720,Anne Frank,"Frankfurt am Main, Germany",1929
3721,Ruud van der Rol,,
3731,Frances Goodrich,"Belleville, New Jersey, The United States",1890
3732,Lorraine Hansberry,"Chicago, The United States",1930
3736,Robert Penn Warren,"Guthrie, Kentucky, The United States",1905
3780,James Patterson,"Newburgh, New York, The United States",
3843,Kenneth Grahame,"Edinburgh, Scotland, The United Kingdom",1859
3873,Mikhail Bulgakov,"Kyiv, Ukraine",1891
3892,Tom Clancy,"Baltimore County, Maryland, The United States",1947
3961,Alan Moore,"Northampton, England, The United Kingdom",
3989,V.S. Naipaul,"Chaguanas, Trinidad and Tobago",1932
3999,James  Jones,"Robinson, The United States",1921
4000,Pat Barker,,
4007,Mary Doria Russell,The United States,
4026,Pablo Neruda,"Parral, Chile",1904
4030,Michael Ondaatje,"Colombo, Sri Lanka",1943
4043,Wilbur Smith,"Kabwe, Zambia",1933
4049,Janette Oke,"Champion, Alberta, Canada",1935
4116,Erich Maria Remarque,"Osnabrück, Germany",1898
4128,J.M. Coetzee,"Cape Town, South Africa",1940
4141,John Julius Norwich,England,1929
4174,Sherman Alexie,"Spokane, Washington, The United States",1966
4178,Cormac McCarthy,"Providence, Rhode Island, The United States",1933
4187,Primo Levi,"Turin, Italy",1919
4203,Sigrid Undset,"Kalundborg, Denmark",1882
4229,Sebastian Faulks,"Donnington, The United Kingdom",1953
4260,Diana Wynne Jones,"London, England, The United Kingdom",1934
4261,Allen Ginsberg,"Newark, New Jersey, The United States",1926
4262,Truddi Chase,"Rochester, The United States",1939
4273,Roald Dahl,"Llandaff, Cardiff, Wales, The United Kingdom",1916
4280,Kazuo Ishiguro,"Nagasaki, Japan",1954
4338,Robert Silverberg,"Brooklyn, New York, The United States",1935
4339,David Foster Wallace,"Ithaca, New York, The United States",1962
4370,Elizabeth Wurtzel,"New York, New York, The United States",1967
4376,Susanna Kaysen,"Cambridge, Massachusetts, The United States",1948
4379,Sylvia Plath,"Jamaica Plain, Massachusetts, The United States",1932
4391,Saul Bellow,"Lachine, Quebec, Canada",1915
4402,Miguel Ruiz,Mexico,1952
4489,Maurice Sendak,"Brooklyn, New York, The United States",1928
4493,Eckhart Tolle,"Dortmund, Germany",1948
4694,Laura Esquivel,"Mexico D.F., Mexico",1950
4735,Kathryn Lasky,"Indianapolis, Indiana, The United States",1944
4738,Alexander McCall Smith,,
4764,Philip K. Dick,"Chicago, Illinois, The United States",1928
4778,John Dos Passos,"Chicago, The United States",1896
4820,Jeffrey Archer,"London, The United Kingdom",1940
4837,Henri J.M. Nouwen,"Nijkerk, Netherlands",1932
4866,Masamune Shirow,"Kobe, Japan",1961
4939,Peter Kreeft,,1937
4952,John Berendt,"Syracuse, New York, The United States",1939
4953,Philippa Pearce,"Great Shelford, Cambridgeshire, The United Kingdom",1920
4999,Scott O'Dell,"Los Angeles, California, The United States",1898
5001,Milton Friedman,"Brooklyn, New York, The United States",1912
5091,Lee Child,The United Kingdom,
5112,Chris Ware,"Omaha, Nebraska, The United States",1967
5117,Art Spiegelman,"Stockholm, Sweden",1948
5143,Seamus Deane,"Derry, Northern Ireland",1940
5144,James Joyce,"Rathgar, Dublin, Ireland",1882
5152,Vladimir Nabokov,"Saint Petersburg, Russian Federation",1899
5194,Michael Crichton,"Chicago, Illinois, The United States",1942
5209,Annie Dillard,"Pittsburgh, PA, The United States",1945
5217,George Bernard Shaw,"Dublin, Ireland",1856
5223,Franz Kafka,,
5228,Jean Anouilh,"Bordeaux, France",1910
5234,Sena Jeter Naslund,"Birmingham, The United States",
5237,Hunter S. Thompson,"Louisville, Kentucky, The United States",1937
5246,Amy Tan,"Oakland, California, The United States",
5282,Scott Adams,"Windham, New York, The United States",1957
5293,Robert Ludlum,"New York, New York, The United States",1927
5300,Laura Ingalls Wilder,"near Pepin, Wisconsin, The United States",1867
5306,Maud Hart Lovelace,"Mankato, MN, The United States",1892
5310,Lois Lenski,"Springfield, Ohio, The United States",1893
5329,Brian Jacques,"Liverpool, The United Kingdom",1939
5336,Judi Barrett,,
5339,Robin McKinley,"Warren, Ohio, The United States",1952
5350,L.M. Montgomery,,
5376,Jack Vance,"San Francisco, California, The United States",1916
5399,Donald Zochert,,
5544,Frank E. Peretti,Canada,1951
5545,Abraham Joshua Heschel,"Warsaw, Poland",1907
5548,Simone de Beauvoir,"Paris, France",1908
5599,Dorothy Allison,The United States,1949
5600,Patrick O'Brian,"Chalfont St. Peter, Buckinghamshire, The United Kingdom",1914
5657,Gore Vidal,"West Point, New York, The United States",1925
5668,Nikos Kazantzakis,"Heraklion, Crete , Greece",1883
5675,Waris Dirie,"Galkacyo, Somalia",
5684,Alex Garland,"London, England, The United Kingdom",1970
5687,Irvine Welsh,"Leith, Scotland",1958
5691,Nora Ephron,"Brooklyn, New York, The United States",1941
5735,Anthony Burgess,"Harpurhey, England, The United Kingdom",1917
5768,John Jakes,"Chicago, The United States",1932
5817,Rodman Philbrick,The United States,
5833,Annette Curtis Klause,"Bristol, England, The United Kingdom",1953
5857,Slavomir Rawicz,"Warsaw, Poland",1915
5858,Richard Bachman,"Portland, Maine, The United States",1941
5869,Erik Larson,"Brooklyn, New York, The United States",
5882,Stephen E. Ambrose,"Lovington, Illinois, The United States",1936
5951,Jeff Smith,"McKees Rocks, Pennsylvania, The United States",1960
5989,Jane Yolen,"New York, New York, The United States",
6001,Carolyn Keene,,
6098,Nicholas Evans,"Worcestershire, The United Kingdom",1950
6125,Fannie Flagg,"Birmingham, Alabama, The United States",1944
6134,Arundhati Roy,"Shillong, Meghalaya, India",
6160,Sophie Kinsella,"London, England, The United Kingdom",
6191,Martin Heidegger,"Meßkirch, Germany",1889
6208,Dodie Smith,"Whitefield, The United Kingdom",1896
6238,Marjane Satrapi,"Rasht, Iran",1969
6251,Julie Garwood,"Kansas City, The United States",
6252,Robert Jordan,"Charleston, South Carolina, The United States",1948
6255,Ryszard Kapuściński,"Pinsk, Belarus",1932
6304,Kathy Acker,"New York City, New York, The United States",1947
6343,Milan Kundera,"Brno, Czech Republic",1929
6356,Barack Obama,"Honolulu, Hawaii, The United States",1961
6404,Jonathan Lethem,"Brooklyn, New York, The United States",1964
6410,Alice Munro,"Wingham, Ontario, Canada",1931
6412,Robert C. O'Brien,"Brooklyn, New York, The United States",1918
6417,James Clavell,"Sydney, New South Wales, Australia",1924
6468,Denis Johnson,"Munich, Germany",1949
6492,Francine Rivers,The United States,
6517,Elias Canetti,"Rousse, Bulgaria",1905
6526,Kōbō Abe,"Kita, Tokyo, Japan",1924
6530,Max Frisch,"Zurich, Switzerland",1911
6568,James D. Bradley,"Wisconsin, The United States",1954
6569,Louis Sachar,"East Meadow, New York, The United States",1954
6570,David Lodge,"London, The United Kingdom",1935
6583,Alison Weir,"London, The United Kingdom",1951
6587,Tad Williams,"San Jose, California, The United States",
6599,Margaret George,"Nashville, Tennessee, The United States",
6669,Wisława Szymborska,"Bnin, Kornik, Poland",1923
6685,Fritjof Capra,"Vienna, Austria",1939
6760,Laurie R. King,"Oakland, California, The United States",
6765,Virginia Woolf,"Kensington, Middlesex, England, The United Kingdom",1882
6810,Wilson Rawls,"Scraper, Oklahoma, The United States",1913
6846,Christopher Paul Curtis,"Flint, Michigan, The United States",1953
6878,John Updike,"Shillington, Pennsylvania, The United States",1932
6900,Thomas Keneally,"Sydney, New South Wales, Australia",1935
6941,Peter Straub,"Milwaukee Wisconsin, The United States",
6942,Pat Conroy,"Atlanta, Georgia, The United States",1945
6944,Jack Finney,"Milwaukee, Wisconsin, The United States",1911
6946,Anne Rivers Siddons,"Atlanta, Georgia, The United States",1936
6975,Peter Matthiessen,"New York City, The United States",1927
6980,Edward de Bono,Malta,1933
6989,Rudyard Kipling,"Bombay, India",1865
7025,Gregory Maguire,"Albany, New York, The United States",1954
7031,James Lee Burke,"Houston, Texas, The United States",1936
7103,Steve Martin,"Waco, Texas, The United States",1945
7113,Anne Lamott,"San Francisco, California, The United States",
7128,Jodi Picoult,"Nesconset, Long Island, New York,, The United States",
7130,Charles Frazier,"Asheville, North Carolina, The United States",1950
7184,Edna O'Brien,"Tuamgraney, County Clare, Ireland",1930
7277,Julia Alvarez,"New York, New York, The United States",
7285,Ken Kesey,"La Junta, Colorado, The United States",1935
7287,Iris Murdoch,"Dublin, Ireland",1919
7308,Susan Cooper,"Burnham, Buckinghamshire, The United Kingdom",
7330,Sinclair Lewis,"Sauk Centre, Minnesota, The United States",1885
7363,Raymond Carver,"Clatskanie, Oregon, The United States",1938
7371,Tobias Wolff,"Birmingham, Alabama, The United States",1945
7372,Philip Gourevitch,"Philadelphia, Pennsylvania, The United States",1961
7380,Alice Walker,"Eatonton, Georgia, The United States",1944
7385,Chaim Potok,"Buffalo, New York, The United States",1929
7419,John Galsworthy,"Kingston, Surrey, The United Kingdom",1867
7440,Emily Dickinson,"Amherst, Massachusetts, The United States",1830
7451,Keri Hulme,"Christchurch, New Zealand",1947
7464,John Cheever,"Quincy, Massachusetts, The United States",1912
7469,Octavio Paz,"Mexico City, D.F., Mexico",1914
7491,Marilynne Robinson,"Sandpoint, Idaho, The United States",1943
7508,Ralph Ellison,"Oklahoma City, Oklahoma, The United States",1913
7549,Elizabeth George Speare,"Melrose, Massachusetts, The United States",1908
7565,William Styron,"Newport News, Virginia, The United States",1925
7577,Anne Rice,"New Orleans, Louisiana, The United States",1941
7617,André Gide,"Paris, France",1869
7621,Jim Thompson,"Anadarko, Oklahoma, The United States",1906
7622,Patricia Highsmith,"Fort Worth, Texas, The United States",1921
7628,Iain Banks,"Dunfermline, Fife, Scotland",1954
7659,Paul Bowles,"Jamaica, Queens, NY, The United States",1910
7672,Ludwig Wittgenstein,,
7680,Eugene O'Neill,"New York, New York, The United States",1888
7689,Eugène Ionesco,"Slatina, Olt County, Romania",1909
7702,Luigi Pirandello,"Agrigento, Sicily, Italy",1867
7713,Sam Shepard,"Fort Sheridan, Illinois, The United States",1943
7715,Robert Frost,"San Francisco, California, The United States",1874
7717,Richard  Adams,"Newbury, Berkshire, England, The United Kingdom",1920
7728,Doris Lessing,"Kermanshah, Iran",1919
7732,Marguerite Yourcenar,"Brussels, Belgium",1903
7735,Irwin Shaw,"South Bronx, New York City, New York, The United States",1913
7745,Thomas Bernhard,"Heerlen, Netherlands",1931
7751,Tennessee Williams,"Columbus, Mississippi, The United States",1911
7779,Arthur C. Clarke,"Minehead, Somerset, England, The United Kingdom",1917
7816,Fernando Pessoa,"Lisbon, Portugal",1888
7844,Richard Russo,"Johnstown, New York, The United States",
7869,Louis-Ferdinand Céline,"Courbevoie, France",1894
7902,Boris Pasternak,"Moscow, Russian Federation",1890
7906,Rainer Maria Rilke,"Prague, Czech Republic",1875
7921,Thomas Wolfe,"Asheville, North Carolina, The United States",1900
7927,Norman Mailer,"Long Branch, New Jersey, The United States",1923
7963,P.G. Wodehouse,"Guildford, Surrey, England, The United Kingdom",1881
7970,Richard Brautigan,"Tacoma, Washington, The United States",1935
7973,Eudora Welty,"Jackson, Mississippi, The United States",1909
7982,Anne Fadiman,"New York, New York, The United States",1953
7995,James A. Michener,"New York, New York, The United States",1907
8050,Ira Levin,"The Bronx, New York City, New York, The United States",1929
8051,Chinua Achebe,"Ogidi, Anambra, Nigeria",1930
8055,Ha Jin,"Liaoning, China",1956
8088,Carlos Castaneda,"Cajamarca, Peru",1925
8113,John Barth," Cambridge, Maryland, The United States",1930
8120,Arthur  Miller,"New York, New York, The United States",1915
8146,Mark Helprin,"Ossining, New York, The United States",1947
8166,Lawrence Durrell,"Jalandhar, India",1912
8167,Reynolds Price,"Macon, North Carolina, The United States",1933
8170,William  Boyd,"Accra, Ghana",1952
8178,Carl Hiaasen,"Miami, Florida, The United States",1953
8203,James Redfield,"Birmingham, Alabama, The United States",1950
8258,Martin Cruz Smith,"Reading, Pennsylvania, The United States",1942
8347,Garth Nix,"Melbourne, Australia",
8361,Dorothy Dunnett,"Dunfermline, Scotland, The United Kingdom",1923
8458,James W. Loewen,"Decatur, Illinois, The United States",1942
8516,Piers Anthony,"Oxford, England, The United Kingdom",1934
8538,Fuyumi Ono,"Nakatsu, Ōita, Japan",1960
8550,Yasunari Kawabata,"Osaka, Japan",1899
8567,Wendell Berry,"Kentucky, The United States",1934
8588,Raymond E. Feist,"Los Angeles, California, The United States",1945
8596,Tamora Pierce,"South Connellsville, Pennsylvania, The United States",
8622,Katherine Dunn,"Garden City, Kansas, The United States",1945
8644,Sylvia Nasar,"Rosenheim, Germany",1947
8649,Juliet Marillier,"Dunedin, New Zealand",
8685,Mercedes Lackey,"Chicago, Illinois, The United States",1950
8694,Tanith Lee,"London, The United Kingdom",1947
8719,Donna Tartt,"Greenwood, Mississippi, The United States",1963
8726,Richard Matheson,"Allendale, New Jersey, The United States",1926
8732,David Eddings,"Spokane, Washington, The United States",1931
8734,Dorothy L. Sayers,"Oxford, England, The United Kingdom",1893
8788,Erich Fromm,"Frankfurt am Main, Germany",1900
8835,Tim Powers,"Buffalo, New York, The United States",1952
8869,Matthew Kneale,"London, The United Kingdom",1960
8875,Halldór Kiljan Laxness,"Reykjavík, Iceland",1902
8924,Lloyd Alexander,"Philadelphia, Pennsylvania, The United States",1924
8933,Alan Lightman,"Memphis, TN, The United States",1948
8987,Theodore Dreiser,"Terre Haute, Indiana, The United States",1871
8993,O. Henry,"Greensboro, North Carolina, The United States",1862
9016,Colin Wilson,"Leicester, Leicestershire, England, The United Kingdom",1931
9020,Herman Wouk,"New York, New York, The United States",1915
9057,Gaston Leroux,"Paris, France",1868
9068,Sidney Sheldon,"Chicago, Illinois, The United States",1917
9074,Thich Nhat Hanh,"Thừa Thiên Huế , Viet Nam",1926
9097,Legs McNeil,"Cheshire, Connecticut, The United States",1956
9144,Sébastien Japrisot,"Marseille, France",1931
9172,Lord Dunsany,"London, England, The United Kingdom",1878
9226,William Gibson,"Conway, South Carolina, The United States",1948
9241,Stephanie Laurens,"Ceylon, Sri Lanka",
9322,Edward Albee,"Virginia, The United States",1928
9325,Gertrude Stein,"Allegheny, Pennsylvania, The United States",1874
9355,Dean Koontz,"Everett, Pennsylvania, The United States",
9374,Neale Donald Walsch,"Milwaukee, Wisconsin, The United States",1943
9388,Louise Erdrich,"Little Falls, Minnesota, The United States",1954
9399,Jeanette Winterson,"Manchester, England, The United Kingdom",1959
9432,Joanne Harris,"Barnsley, The United Kingdom",
9494,H.P. Lovecraft,"Providence, Rhode Island, The United States",1890
9550,Laurell K. Hamilton,"Heber Springs, Arkansas, The United States",1919
9556,Diane Mott Davidson,,
9558,Poppy Z. Brite,"New Orleans, Louisiana, The United States",
9559,Sue Grafton,"Louisville, Kentucky",1940
9599,Paul Theroux,"Medford, Massachusetts, The United States",1941
9629,Terry Brooks,"Sterling, Illinois, The United States",1944
9632,Witold Gombrowicz,"Małoszyce, Poland",1904
9640,Karen Cushman,"Chicago, Illinois, The United States",1904
9657,Richard Wright,"Adams County, Mississippi, The United States",1908
9678,Ann Rule,"Lowell, Michigan, The United States",1931
9685,Chris Van Allsburg,"Grand Rapids, Michigan, The United States",1949
9691,Eric Hansen,,
9720,Mary Norton,"Leighton Buzzard, The United Kingdom",1903
9740,Ralph Moody,"East Rochester, NH, The United States",1898
9759,Mary Balogh,"Swansea, Wales, The United Kingdom",1944
9785,Andre Dubus III,"Oceanside, CA, The United States",1959
9800,Anne Michaels,Canada,1958
9833,Iain Pears,"Coventry, The United Kingdom",1955
9885,Judith McNaught,"San Luis Obispo, California, The United States",1944
9987,Philippa Gregory,Kenya,
10003,Laurie Halse Anderson,"Potsdam, New York, The United States",1923
10015,Kate Atkinson,"York, England, The United Kingdom",1951
10017,Sigmund Freud,"Freiberg in Mähren, Moravia, Austrian Empire, Czech Republic",1856
10020,Lorna Landvik,"Grand Forks, ND, The United States",
10022,Armistead Maupin,"Washington, D.C., The United States",1944
10039,John Fowles,,
10074,Ellen Raskin,"Milwaukee, Wisconsin, The United States",1928
10089,Philip José Farmer,"Terre Haute, Indiana, The United States",1918
10105,Avi,"New York, New York, The United States",1937
10108,Roddy Doyle,"Dublin, Ireland",1958
10229,Christopher Isherwood,"Wyberslegh Hall, High Lane, Cheshire, England, The United Kingdom",1904
10256,Harmony Korine,"Bolinas, California, The United States",1973
